,sum,mean,var,std,median,q1,q3,n,firstRank,lastRank,minStudentRank,maxStudentRank,requested,track,optionalCorrectedRankSum,lastMandatoryOptionalRank,optionalCorrectedQ1,optionalCorrectedMedian,optionalCorrectedQ3,optionalCorrectedMean,optionalCorrectedVar,optionalCorrectedStd,rankedVSrequested,maxRankDistance,minRankDistance,correctedMaxRankDistance,IQR,optionalCorrectedIQR
0,29.0,4.142857142857143,3.9795918367346945,1.9948914348241347,2.5,2.5,6.0,7,2.5,7.0,2.5,18.0,7,CS_track,29.0,7.0,2.5,2.5,6.0,4.142857142857143,3.9795918367346914,1.9948914348241338,0,11.0,0.0,11.0,3.5,3.5
1,48.0,5.333333333333333,8.11111111111111,2.848001248439177,5.0,2.5,7.0,9,2.5,10.0,2.5,18.0,5,AI_track,29.0,7.0,2.5,2.5,6.0,4.142857142857143,3.9795918367346914,1.9948914348241338,0,8.0,0.0,11.0,4.5,3.5
2,28.0,4.0,3.857142857142857,1.9639610121239315,3.5,2.5,5.5,7,1.5,7.0,1.5,17.5,7,CS_track,28.0,7.0,2.5,3.5,5.5,4.0,3.8571428571428577,1.9639610121239315,0,10.5,0.0,10.5,3.0,3.0
3,28.5,4.071428571428571,3.673469387755102,1.9166296949998198,2.5,2.5,5.5,7,2.5,7.5,2.5,18.0,3,AI_track,28.5,7.5,2.5,2.5,5.5,4.071428571428571,3.6734693877551052,1.9166296949998205,0,10.5,0.0,10.5,3.0,3.0
4,30.5,4.357142857142857,5.479591836734693,2.3408528011677054,2.5,2.5,6.0,7,2.5,8.5,2.5,17.5,3,AI_track,30.5,8.5,2.5,2.5,6.0,4.357142857142857,5.4795918367346985,2.3408528011677068,0,9.0,0.0,9.0,3.5,3.5
5,32.5,4.642857142857143,5.6938775510204085,2.3861847269271523,5.0,2.75,6.75,7,1.0,7.5,1.0,18.0,7,CS_track,32.5,7.5,2.75,5.0,6.75,4.642857142857143,5.693877551020403,2.386184726927151,0,10.5,0.0,10.5,4.0,4.0
6,40.0,5.0,8.375,2.8939592256975564,4.25,3.125,7.5,8,1.0,10.0,1.0,17.5,8,CS_track,30.0,7.5,2.75,3.5,6.25,4.285714285714286,5.489795918367349,2.343031352408104,0,7.5,0.0,10.0,4.375,3.5
7,53.5,5.944444444444445,9.69135802469136,3.113094605804867,7.0,3.5,7.0,9,1.0,10.5,1.0,17.5,9,CS_track,32.5,7.0,3.5,3.5,7.0,4.642857142857143,4.8367346938775455,2.1992577597629492,0,7.0,0.0,10.5,3.5,3.5
8,48.0,5.333333333333333,9.222222222222221,3.0368111930480994,5.0,2.5,6.5,9,2.5,11.5,2.5,17.5,5,AI_track,28.0,6.5,2.5,2.5,5.75,4.0,3.2142857142857153,1.7928429140015907,0,6.0,0.0,11.0,4.0,3.25
9,28.0,4.0,3.857142857142857,1.9639610121239315,4.0,2.5,5.5,7,1.0,7.0,1.0,17.0,7,CS_track,28.0,7.0,2.5,4.0,5.5,4.0,3.8571428571428577,1.9639610121239315,0,10.0,0.0,10.0,3.0,3.0
10,45.0,5.0,6.0,2.449489742783178,5.5,2.5,7.0,9,2.5,8.5,2.5,17.5,5,AI_track,28.0,7.0,2.5,2.5,5.5,4.0,3.2142857142857153,1.7928429140015907,0,9.0,0.0,10.5,4.5,3.0
11,38.5,4.8125,6.49609375,2.5487435630129602,3.75,2.5,6.875,8,2.5,9.0,2.5,17.0,4,AI_track,29.5,8.0,2.5,2.5,5.75,4.214285714285714,4.561224489795919,2.135702341103722,0,8.0,0.0,9.0,4.375,3.25
12,50.5,5.611111111111111,10.820987654320986,3.289526965130547,5.0,3.5,8.0,9,1.5,10.5,1.5,17.0,9,CS_track,29.5,8.0,2.5,3.5,5.75,4.214285714285714,5.132653061224488,2.265535932450529,0,6.5,0.0,9.0,4.5,3.25
13,28.5,4.071428571428571,4.316326530612245,2.077577081749855,4.5,2.25,5.25,7,1.5,7.5,1.5,17.5,7,CS_track,28.5,7.5,2.25,4.5,5.25,4.071428571428571,4.316326530612248,2.077577081749856,0,10.0,0.0,10.0,3.0,3.0
14,29.0,4.142857142857143,4.908163265306123,2.2154374884672605,4.0,2.5,5.5,7,1.0,8.0,1.0,18.0,7,CS_track,29.0,8.0,2.5,4.0,5.5,4.142857142857143,4.908163265306122,2.21543748846726,0,10.0,0.0,10.0,3.0,3.0
15,40.0,5.714285714285714,7.846938775510204,2.8012387930182254,5.5,4.25,7.5,7,1.0,10.0,1.0,16.5,7,CS_track,40.0,10.0,4.25,5.5,7.5,5.714285714285714,7.846938775510203,2.8012387930182254,0,6.5,0.0,6.5,3.25,3.25
16,36.5,4.5625,5.02734375,2.242173889331512,4.0,2.5,5.875,8,2.5,8.5,2.5,18.0,4,AI_track,28.0,7.0,2.5,2.5,5.5,4.0,3.2142857142857153,1.7928429140015907,0,9.5,0.0,11.0,3.375,3.0
17,28.0,4.0,3.2142857142857144,1.7928429140015905,2.5,2.5,5.5,7,2.5,7.0,2.5,17.5,3,AI_track,28.0,7.0,2.5,2.5,5.5,4.0,3.2142857142857153,1.7928429140015907,0,10.5,0.0,10.5,3.0,3.0
18,33.5,4.785714285714286,10.132653061224488,3.1831828507367415,3.5,2.5,6.25,7,1.5,11.0,1.5,18.0,7,CS_track,33.5,11.0,2.5,3.5,6.25,4.785714285714286,10.132653061224492,3.183182850736742,0,7.0,0.0,7.0,3.75,3.75
19,29.0,4.142857142857143,3.979591836734694,1.9948914348241344,2.5,2.5,6.0,7,2.5,7.0,2.5,17.5,3,AI_track,29.0,7.0,2.5,2.5,6.0,4.142857142857143,3.9795918367346914,1.9948914348241338,0,10.5,0.0,10.5,3.5,3.5
20,28.0,4.0,3.2142857142857144,1.7928429140015905,2.5,2.5,5.5,7,2.5,7.0,2.5,18.0,3,AI_track,28.0,7.0,2.5,2.5,5.5,4.0,3.2142857142857153,1.7928429140015907,0,11.0,0.0,11.0,3.0,3.0
21,53.5,5.944444444444445,11.246913580246913,3.3536418383970155,6.0,3.0,10.0,9,1.0,10.0,1.0,18.0,9,CS_track,33.5,10.0,2.5,4.5,6.5,4.785714285714286,8.41836734693878,2.9014422873699868,0,8.0,0.0,8.0,7.0,4.0
22,36.5,4.5625,5.08984375,2.2560682059725057,3.75,2.5,6.25,8,2.5,8.5,2.5,18.0,4,AI_track,28.0,7.0,2.5,2.5,5.5,4.0,3.2857142857142847,1.8126539343499313,0,9.5,0.0,11.0,3.75,3.0
23,37.0,4.625,5.609375,2.368411915187052,3.75,2.5,6.25,8,2.5,9.0,2.5,18.0,4,AI_track,28.0,7.0,2.5,2.5,5.5,4.0,3.2857142857142847,1.8126539343499313,0,9.0,0.0,11.0,3.75,3.0
24,48.0,5.333333333333333,8.666666666666666,2.943920288775949,5.0,3.0,9.0,9,1.0,9.0,1.0,17.5,9,CS_track,30.0,9.0,2.5,4.0,5.5,4.285714285714286,6.204081632653065,2.490799396308957,0,8.5,0.0,8.5,6.0,3.0
25,38.5,5.5,10.428571428571429,3.2293298729878046,6.0,2.0,8.5,7,2.0,9.5,2.0,18.0,7,CS_track,38.5,9.5,2.0,6.0,8.5,5.5,10.42857142857143,3.2293298729878046,0,8.5,0.0,8.5,6.5,6.5
26,28.0,4.0,3.2142857142857144,1.7928429140015905,2.5,2.5,5.75,7,2.5,6.5,2.5,18.0,3,AI_track,28.0,6.5,2.5,2.5,5.75,4.0,3.2142857142857153,1.7928429140015907,0,11.5,0.0,11.5,3.25,3.25
27,28.5,4.071428571428571,4.387755102040816,2.0946968998021687,4.5,2.5,5.25,7,1.0,7.5,1.0,18.0,7,CS_track,28.5,7.5,2.5,4.5,5.25,4.071428571428571,4.3877551020408205,2.0946968998021696,0,10.5,0.0,10.5,2.75,2.75
28,28.0,4.0,2.5714285714285716,1.6035674514745464,4.0,4.0,4.0,7,1.0,7.0,1.0,17.5,7,CS_track,28.0,7.0,4.0,4.0,4.0,4.0,2.571428571428573,1.6035674514745468,0,10.5,0.0,10.5,0.0,0.0
29,30.0,4.285714285714286,4.846938775510204,2.2015764296317775,2.5,2.5,6.25,7,2.5,7.5,2.5,18.0,3,AI_track,30.0,7.5,2.5,2.5,6.25,4.285714285714286,4.846938775510207,2.201576429631778,0,10.5,0.0,10.5,3.75,3.75
30,47.5,5.277777777777778,8.895061728395063,2.9824590069932335,5.0,2.5,7.5,9,2.5,11.5,2.5,18.0,5,AI_track,28.5,7.5,2.5,2.5,5.5,4.071428571428571,3.744897959183678,1.9351738834491536,0,6.5,0.0,10.5,5.0,3.0
31,46.5,5.166666666666667,6.944444444444445,2.6352313834736494,5.0,2.5,8.5,9,2.5,8.5,2.5,18.0,5,AI_track,29.5,8.5,2.5,2.5,5.5,4.214285714285714,4.846938775510203,2.201576429631777,0,9.5,0.0,9.5,6.0,3.0
32,37.5,4.6875,6.18359375,2.4866832830097203,3.75,2.5,6.25,8,2.5,9.5,2.5,17.0,4,AI_track,28.0,7.0,2.5,2.5,5.5,4.0,3.2857142857142847,1.8126539343499313,0,7.5,0.0,10.0,3.75,3.0
33,43.0,5.375,9.484375,3.07967124868873,5.0,2.0,9.0,8,2.0,9.0,2.0,18.0,8,CS_track,34.0,9.0,2.0,4.0,7.5,4.857142857142857,8.69387755102041,2.9485382057928993,0,9.0,0.0,9.0,7.0,5.5
34,39.5,4.9375,9.52734375,3.0866395562164364,4.5,2.625,6.5,8,1.5,11.5,1.5,17.5,8,CS_track,28.0,6.5,2.25,4.0,5.75,4.0,3.8571428571428577,1.9639610121239315,0,6.0,0.0,11.0,3.875,3.5
35,36.0,4.5,4.5625,2.1360009363293826,4.0,2.5,5.875,8,2.5,8.0,2.5,18.0,4,AI_track,28.0,7.0,2.5,2.5,5.5,4.0,3.2142857142857153,1.7928429140015907,0,10.0,0.0,11.0,3.375,3.0
36,45.0,5.0,6.055555555555555,2.4608038433722332,5.0,2.5,6.5,9,2.5,9.0,2.5,18.0,5,AI_track,28.0,6.5,2.5,2.5,5.75,4.0,3.2142857142857153,1.7928429140015907,0,9.0,0.0,11.5,4.0,3.25
37,32.0,4.571428571428571,6.10204081632653,2.470230923684369,4.5,2.0,6.5,7,2.0,8.5,2.0,18.0,7,CS_track,32.0,8.5,2.0,4.5,6.5,4.571428571428571,6.102040816326532,2.4702309236843694,0,9.5,0.0,9.5,4.5,4.5
38,47.5,5.277777777777778,8.117283950617285,2.8490847566573523,5.5,2.5,8.0,9,2.5,10.5,2.5,18.0,5,AI_track,29.0,8.0,2.5,2.5,5.5,4.142857142857143,4.193877551020407,2.047895883833064,0,7.5,0.0,10.0,5.5,3.0
39,31.5,4.5,7.071428571428571,2.659215781283755,3.5,2.5,6.25,7,1.5,9.0,1.5,18.0,7,CS_track,31.5,9.0,2.5,3.5,6.25,4.5,7.071428571428573,2.659215781283755,0,9.0,0.0,9.0,3.75,3.75
40,29.5,4.214285714285714,5.20408163265306,2.281245631810187,4.0,2.75,5.0,7,1.5,8.5,1.5,18.0,7,CS_track,29.5,8.5,2.75,4.0,5.0,4.214285714285714,5.204081632653061,2.2812456318101875,0,9.5,0.0,9.5,2.25,2.25
41,36.0,4.5,4.5625,2.1360009363293826,3.75,2.5,6.5,8,2.5,8.0,2.5,18.0,4,AI_track,28.0,6.5,2.5,2.5,5.75,4.0,3.2142857142857153,1.7928429140015907,0,10.0,0.0,11.5,4.0,3.25
42,48.5,6.0625,13.90234375,3.7285846845686637,5.5,2.625,10.5,8,1.5,10.5,1.5,17.5,8,CS_track,38.0,10.5,2.25,5.0,8.25,5.428571428571429,12.673469387755102,3.5599816555363177,0,7.0,0.0,7.0,7.875,6.0
43,36.5,4.5625,5.58984375,2.3642850399222173,4.5,2.75,6.5,8,1.0,8.5,1.0,17.0,8,CS_track,28.0,6.5,2.5,4.5,5.5,4.0,3.8571428571428577,1.9639610121239315,0,8.5,0.0,10.5,3.75,3.0
44,38.5,4.8125,7.05859375,2.656801413354035,4.5,2.75,7.0,8,1.0,8.5,1.0,18.0,8,CS_track,30.0,8.5,2.5,4.0,5.75,4.285714285714286,5.846938775510207,2.4180444114015374,0,9.5,0.0,9.5,4.25,3.25
45,28.5,4.071428571428571,4.244897959183674,2.0603150145508513,3.5,2.5,5.5,7,1.5,7.5,1.5,17.5,7,CS_track,28.5,7.5,2.5,3.5,5.5,4.071428571428571,4.244897959183678,2.060315014550852,0,10.0,0.0,10.0,3.0,3.0
46,35.0,5.0,3.9285714285714284,1.9820624179302297,5.5,3.5,6.25,7,2.0,8.0,1.0,17.5,7,CS_track,35.0,8.0,3.5,5.5,6.25,5.0,3.928571428571427,1.9820624179302293,0,9.5,1.0,9.5,2.75,2.75
47,28.0,4.0,3.642857142857143,1.9086270308410553,4.0,2.5,6.0,7,1.0,6.0,1.0,18.0,7,CS_track,28.0,6.0,2.5,4.0,6.0,4.0,3.6428571428571423,1.9086270308410551,0,12.0,0.0,12.0,3.5,3.5
48,36.0,4.5,4.625,2.1505813167606567,3.75,2.5,6.25,8,2.5,8.0,2.5,16.0,4,AI_track,28.0,7.0,2.5,2.5,5.5,4.0,3.2857142857142847,1.8126539343499313,0,8.0,0.0,9.0,3.75,3.0
49,38.5,4.8125,7.12109375,2.6685377550261493,3.75,2.5,6.375,8,2.5,10.0,2.5,18.0,4,AI_track,28.5,7.5,2.5,2.5,5.5,4.071428571428571,3.744897959183678,1.9351738834491536,0,8.0,0.0,10.5,3.875,3.0
50,44.0,5.5,4.75,2.179449471770337,5.0,4.0,8.0,8,2.0,8.0,1.0,18.0,8,CS_track,36.0,8.0,4.0,4.0,7.0,5.142857142857143,4.4081632653061185,2.0995626366712945,0,10.0,1.0,10.0,4.0,3.0
51,54.0,6.0,13.5,3.6742346141747673,5.5,2.5,8.5,9,2.5,13.0,2.5,16.5,5,AI_track,31.0,8.5,2.5,2.5,6.25,4.428571428571429,5.602040816326529,2.3668630751115556,0,3.5,0.0,8.0,6.0,3.75
52,30.0,4.285714285714286,4.918367346938775,2.2177392423228603,2.5,2.5,6.0,7,2.5,8.0,2.5,17.5,3,AI_track,30.0,8.0,2.5,2.5,6.0,4.285714285714286,4.918367346938776,2.217739242322861,0,9.5,0.0,9.5,3.5,3.5
53,50.0,5.555555555555555,10.135802469135804,3.1836775070876455,5.0,2.5,9.0,9,2.5,11.0,2.5,18.0,5,AI_track,30.0,9.0,2.5,2.5,5.5,4.285714285714286,5.489795918367349,2.343031352408104,0,7.0,0.0,9.0,6.5,3.0
54,39.0,4.875,8.671875,2.944804747347437,4.5,3.0,5.875,8,1.5,11.0,1.5,17.0,8,CS_track,28.0,7.0,2.5,3.5,5.5,4.0,3.7857142857142847,1.9456912102680335,0,6.0,0.0,10.0,2.875,3.0
55,58.5,6.5,11.5,3.391164991562634,6.5,3.5,9.0,9,1.5,12.5,1.5,17.5,9,CS_track,35.5,9.0,3.5,5.0,6.5,5.071428571428571,5.316326530612248,2.3057160559384253,0,5.0,0.0,8.5,5.5,3.0
56,70.5,7.833333333333333,19.111111111111114,4.371625682868001,8.0,4.5,10.5,9,1.0,15.5,1.0,17.5,9,CS_track,42.5,10.5,3.75,6.5,8.5,6.071428571428571,9.95918367346939,3.155817433482075,0,2.0,0.0,7.0,6.0,4.75
57,30.5,4.357142857142857,5.051020408163265,2.2474475317931817,2.5,2.5,6.25,7,2.5,8.0,2.5,18.0,3,AI_track,30.5,8.0,2.5,2.5,6.25,4.357142857142857,5.051020408163268,2.2474475317931826,0,10.0,0.0,10.0,3.75,3.75
58,51.5,5.722222222222222,12.450617283950617,3.528543224044537,5.0,2.5,7.5,9,2.5,11.5,2.5,18.0,5,AI_track,28.5,7.5,2.5,2.5,5.5,4.071428571428571,3.744897959183678,1.9351738834491536,0,6.5,0.0,10.5,5.0,3.0
59,29.5,4.214285714285714,4.561224489795918,2.135702341103722,2.5,2.5,5.75,7,2.5,8.0,2.5,17.5,3,AI_track,29.5,8.0,2.5,2.5,5.75,4.214285714285714,4.561224489795919,2.135702341103722,0,9.5,0.0,9.5,3.25,3.25
60,77.0,8.555555555555555,26.30246913580247,5.12859329015301,7.0,4.5,12.5,9,2.5,16.0,1.0,18.0,9,CS_track,46.0,12.5,3.5,4.5,9.75,6.571428571428571,16.030612244897966,4.003824702069006,0,2.0,1.5,5.5,8.0,6.25
61,42.0,5.25,10.75,3.278719262151,3.75,2.5,7.125,8,2.5,10.5,2.5,18.0,4,AI_track,31.5,10.5,2.5,2.5,5.5,4.5,7.785714285714285,2.7902892835178013,0,7.5,0.0,7.5,4.625,3.0
62,51.5,6.4375,12.40234375,3.5216961467452017,6.75,3.75,8.125,8,1.0,12.5,1.0,17.0,8,CS_track,39.0,10.0,3.5,6.0,7.5,5.571428571428571,8.173469387755105,2.858928013741358,0,4.5,0.0,7.0,4.375,4.0
63,81.5,9.055555555555555,30.524691358024686,5.524915506867475,7.0,4.5,13.0,9,2.5,18.0,1.0,18.0,9,CS_track,46.5,13.0,3.5,7.0,8.5,6.642857142857143,12.979591836734684,3.602720060833853,0,0.0,1.5,5.0,8.5,5.0
64,60.0,6.666666666666667,15.777777777777779,3.972125095937662,5.0,5.0,8.0,9,2.0,15.0,2.0,18.0,9,CS_track,34.0,8.0,3.5,5.0,6.0,4.857142857142857,4.408163265306126,2.0995626366712963,0,3.0,0.0,10.0,3.0,2.5
65,70.0,8.75,26.8125,5.178078794301995,8.25,4.5,13.375,8,1.5,16.5,1.5,18.0,9,CS_track,53.5,14.5,4.0,7.0,11.25,7.642857142857143,20.836734693877546,4.5647272310487015,-1,1.5,0.0,3.5,8.875,7.25
66,67.5,8.4375,23.15234375,4.8116882432260715,8.75,4.625,12.0,8,1.0,16.5,1.0,18.0,9,CS_track,51.0,12.0,4.25,7.5,11.0,7.285714285714286,15.84693877551021,3.980821369455079,-1,1.5,0.0,6.0,7.375,6.75
67,43.0,6.142857142857143,14.693877551020408,3.8332593899996397,5.0,3.5,8.25,7,1.5,13.0,1.5,17.0,7,CS_track,43.0,13.0,3.5,5.0,8.25,6.142857142857143,14.693877551020407,3.833259389999639,0,4.0,0.0,4.0,4.75,4.75
68,59.0,7.375,27.796875,5.272274177240785,6.5,2.0,10.875,8,2.0,17.5,2.0,17.5,8,CS_track,41.5,12.0,2.0,6.0,8.75,5.928571428571429,15.03061224489796,3.87693335574626,0,0.0,0.0,5.5,8.875,6.75
69,56.5,7.0625,23.71484375,4.869788881460879,5.5,4.875,8.5,8,1.0,18.0,1.0,18.0,8,CS_track,38.5,10.0,4.25,5.5,6.75,5.5,7.571428571428569,2.751622897751174,0,0.0,0.0,8.0,3.625,2.5
70,53.5,6.6875,9.80859375,3.1318674540918874,6.25,5.0,8.0,8,1.5,12.5,1.5,18.0,8,CS_track,41.0,9.5,5.0,5.0,7.5,5.857142857142857,5.693877551020414,2.386184726927153,0,5.5,0.0,8.5,3.0,2.5
71,52.0,6.5,18.0625,4.25,5.0,4.25,7.875,8,2.0,15.5,2.0,18.0,8,CS_track,36.5,10.5,3.5,5.0,6.0,5.214285714285714,7.418367346938773,2.723667994991088,0,2.5,0.0,7.5,3.625,2.5
72,44.5,6.357142857142857,11.551020408163266,3.398679215248663,6.5,3.25,9.25,7,2.0,11.0,2.0,18.0,7,CS_track,44.5,11.0,3.25,6.5,9.25,6.357142857142857,11.551020408163268,3.398679215248663,0,7.0,0.0,7.0,6.0,6.0
73,41.5,5.928571428571429,17.45918367346939,4.178418800631333,5.0,2.75,8.0,7,1.0,14.0,1.0,17.0,7,CS_track,41.5,14.0,2.75,5.0,8.0,5.928571428571429,17.459183673469383,4.1784188006313325,0,3.0,0.0,3.0,5.25,5.25
74,68.0,8.5,24.5,4.949747468305833,9.0,4.5,12.0,8,1.0,17.0,1.0,18.0,8,CS_track,51.0,12.0,4.0,9.0,10.5,7.285714285714286,16.20408163265307,4.025429372458679,0,1.0,0.0,6.0,7.5,6.5
